sample interval	      I	     II	    III	    AVR	    AVL	    AVF	     V1	     V2	     V3	     V4	     V5	     V6
    (0.001 sec)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
           7179	  0.055	  0.890	  0.835	 -0.473	 -0.390	  0.863	 -0.138	 -0.500	  0.193	  1.293	  1.095	  0.773
           7180	  0.058	  0.993	  0.935	 -0.525	 -0.438	  0.963	 -0.213	 -0.690	  0.068	  1.380	  1.200	  0.853
           7181	  0.053	  1.105	  1.053	 -0.578	 -0.500	  1.078	 -0.305	 -0.908	 -0.073	  1.480	  1.315	  0.940
           7182	  0.035	  1.230	  1.195	 -0.633	 -0.580	  1.213	 -0.418	 -1.148	 -0.225	  1.605	  1.450	  1.040
           7183	  0.023	  1.353	  1.330	 -0.688	 -0.655	  1.340	 -0.548	 -1.383	 -0.375	  1.735	  1.585	  1.138
           7184	  0.023	  1.428	  1.405	 -0.725	 -0.690	  1.415	 -0.673	 -1.573	 -0.490	  1.863	  1.698	  1.208
           7185	  0.030	  1.415	  1.383	 -0.723	 -0.675	  1.398	 -0.753	 -1.690	 -0.555	  1.995	  1.783	  1.243
           7186	  0.033	  1.320	  1.288	 -0.675	 -0.628	  1.303	 -0.765	 -1.723	 -0.578	  2.135	  1.850	  1.248
           7187	  0.023	  1.198	  1.175	 -0.608	 -0.578	  1.185	 -0.733	 -1.710	 -0.593	  2.248	  1.900	  1.240
           7188	  0.013	  1.105	  1.093	 -0.558	 -0.540	  1.098	 -0.708	 -1.693	 -0.615	  2.323	  1.940	  1.238
           7189	  0.010	  1.043	  1.033	 -0.525	 -0.513	  1.038	 -0.708	 -1.693	 -0.645	  2.373	  1.963	  1.235
           7190	  0.010	  0.975	  0.965	 -0.493	 -0.478	  0.970	 -0.718	 -1.680	 -0.675	  2.398	  1.958	  1.218
           7191	  0.010	  0.878	  0.865	 -0.443	 -0.428	  0.870	 -0.723	 -1.638	 -0.710	  2.360	  1.905	  1.168
           7192	  0.018	  0.760	  0.743	 -0.388	 -0.363	  0.750	 -0.738	 -1.563	 -0.740	  2.270	  1.818	  1.100
           7193	  0.035	  0.638	  0.603	 -0.335	 -0.285	  0.620	 -0.768	 -1.475	 -0.755	  2.180	  1.728	  1.035
           7194	  0.055	  0.505	  0.450	 -0.280	 -0.198	  0.478	 -0.788	 -1.373	 -0.740	  2.113	  1.633	  0.968
           7195	  0.065	  0.355	  0.290	 -0.210	 -0.113	  0.323	 -0.785	 -1.258	 -0.723	  1.998	  1.490	  0.870
           7196	  0.063	  0.195	  0.133	 -0.128	 -0.035	  0.163	 -0.775	 -1.133	 -0.718	  1.795	  1.290	  0.735
           7197	  0.063	  0.040	 -0.023	 -0.050	  0.040	  0.010	 -0.765	 -1.013	 -0.713	  1.588	  1.083	  0.590
           7198	  0.073	 -0.098	 -0.170	  0.013	  0.120	 -0.133	 -0.738	 -0.888	 -0.683	  1.453	  0.923	  0.470
           7199	  0.083	 -0.218	 -0.300	  0.068	  0.190	 -0.258	 -0.678	 -0.770	 -0.665	  1.283	  0.768	  0.365
           7200	  0.075	 -0.310	 -0.385	  0.118	  0.230	 -0.348	 -0.608	 -0.680	 -0.725	  0.880	  0.533	  0.240
           7201	  0.055	 -0.368	 -0.423	  0.158	  0.238	 -0.398	 -0.560	 -0.635	 -0.868	  0.258	  0.220	  0.100
           7202	  0.035	 -0.403	 -0.438	  0.183	  0.235	 -0.420	 -0.535	 -0.610	 -0.993	 -0.303	 -0.053	 -0.018
           7203	  0.028	 -0.430	 -0.458	  0.200	  0.240	 -0.443	 -0.503	 -0.573	 -1.020	 -0.568	 -0.195	 -0.083
           7204	  0.025	 -0.450	 -0.475	  0.213	  0.250	 -0.463	 -0.450	 -0.523	 -0.958	 -0.580	 -0.235	 -0.115
           7205	  0.018	 -0.460	 -0.478	  0.223	  0.248	 -0.470	 -0.395	 -0.488	 -0.888	 -0.543	 -0.253	 -0.143
           7206	  0.005	 -0.455	 -0.460	  0.225	  0.233	 -0.458	 -0.355	 -0.478	 -0.838	 -0.535	 -0.273	 -0.170
           7207	 -0.005	 -0.443	 -0.438	  0.223	  0.215	 -0.440	 -0.328	 -0.483	 -0.790	 -0.505	 -0.273	 -0.180
           7208	 -0.008	 -0.423	 -0.415	  0.215	  0.203	 -0.418	 -0.303	 -0.488	 -0.728	 -0.420	 -0.243	 -0.175
           7209	 -0.008	 -0.398	 -0.390	  0.203	  0.190	 -0.393	 -0.285	 -0.490	 -0.673	 -0.345	 -0.215	 -0.168
           7210	 -0.010	 -0.370	 -0.360	  0.190	  0.175	 -0.365	 -0.273	 -0.480	 -0.628	 -0.308	 -0.198	 -0.165
           7211	 -0.010	 -0.345	 -0.335	  0.178	  0.163	 -0.340	 -0.260	 -0.453	 -0.580	 -0.275	 -0.178	 -0.158
           7212	 -0.005	 -0.318	 -0.313	  0.160	  0.153	 -0.315	 -0.243	 -0.405	 -0.513	 -0.215	 -0.145	 -0.140
           7213	  0.003	 -0.283	 -0.285	  0.138	  0.143	 -0.283	 -0.225	 -0.360	 -0.443	 -0.155	 -0.113	 -0.118
           7214	  0.010	 -0.238	 -0.248	  0.113	  0.128	 -0.243	 -0.208	 -0.323	 -0.380	 -0.115	 -0.088	 -0.095
           7215	  0.015	 -0.198	 -0.213	  0.090	  0.115	 -0.205	 -0.198	 -0.293	 -0.330	 -0.088	 -0.068	 -0.073
           7216	  0.018	 -0.165	 -0.183	  0.073	  0.100	 -0.173	 -0.190	 -0.263	 -0.280	 -0.053	 -0.045	 -0.053
           7217	  0.015	 -0.143	 -0.158	  0.063	  0.085	 -0.148	 -0.185	 -0.248	 -0.243	 -0.035	 -0.033	 -0.043
           7218	  0.010	 -0.123	 -0.133	  0.055	  0.070	 -0.128	 -0.175	 -0.235	 -0.215	 -0.035	 -0.030	 -0.043
           7219	  0.008	 -0.110	 -0.118	  0.050	  0.063	 -0.115	 -0.155	 -0.218	 -0.193	 -0.040	 -0.028	 -0.043
           7220	  0.008	 -0.105	 -0.113	  0.048	  0.060	 -0.108	 -0.130	 -0.183	 -0.165	 -0.030	 -0.023	 -0.038
           7221	  0.008	 -0.103	 -0.110	  0.048	  0.058	 -0.105	 -0.108	 -0.148	 -0.145	 -0.028	 -0.023	 -0.033
           7222	  0.008	 -0.093	 -0.100	  0.043	  0.053	 -0.095	 -0.090	 -0.118	 -0.125	 -0.035	 -0.030	 -0.030
           7223	  0.008	 -0.080	 -0.088	  0.038	  0.045	 -0.083	 -0.073	 -0.098	 -0.108	 -0.045	 -0.038	 -0.035
           7224	  0.008	 -0.068	 -0.075	  0.030	  0.040	 -0.070	 -0.055	 -0.078	 -0.088	 -0.038	 -0.038	 -0.040
           7225	  0.005	 -0.058	 -0.063	  0.025	  0.035	 -0.060	 -0.045	 -0.060	 -0.075	 -0.033	 -0.038	 -0.045
           7226	  0.003	 -0.050	 -0.053	  0.023	  0.028	 -0.050	 -0.035	 -0.045	 -0.063	 -0.038	 -0.038	 -0.045
           7227	  0.000	 -0.045	 -0.045	  0.020	  0.023	 -0.045	 -0.025	 -0.033	 -0.053	 -0.045	 -0.040	 -0.043
           7228	 -0.003	 -0.045	 -0.043	  0.023	  0.020	 -0.043	 -0.010	 -0.013	 -0.035	 -0.040	 -0.043	 -0.040
           7229	 -0.010	 -0.050	 -0.040	  0.028	  0.015	 -0.045	  0.003	  0.000	 -0.028	 -0.038	 -0.048	 -0.040
           7230	 -0.015	 -0.050	 -0.035	  0.033	  0.010	 -0.043	  0.013	  0.008	 -0.025	 -0.043	 -0.050	 -0.043
           7231	 -0.015	 -0.048	 -0.033	  0.033	  0.010	 -0.040	  0.023	  0.008	 -0.023	 -0.053	 -0.053	 -0.048
           7232	 -0.010	 -0.045	 -0.035	  0.028	  0.013	 -0.040	  0.030	  0.018	 -0.008	 -0.050	 -0.053	 -0.048
           7233	 -0.008	 -0.050	 -0.040	  0.028	  0.018	 -0.045	  0.033	  0.028	  0.000	 -0.048	 -0.055	 -0.045
           7234	 -0.010	 -0.055	 -0.045	  0.033	  0.018	 -0.050	  0.033	  0.038	  0.003	 -0.048	 -0.055	 -0.043
           7235	 -0.010	 -0.058	 -0.048	  0.035	  0.018	 -0.053	  0.035	  0.035	 -0.003	 -0.055	 -0.058	 -0.048
           7236	 -0.005	 -0.050	 -0.045	  0.028	  0.020	 -0.048	  0.035	  0.033	  0.003	 -0.058	 -0.060	 -0.053
           7237	 -0.003	 -0.048	 -0.045	  0.025	  0.023	 -0.048	  0.030	  0.030	  0.008	 -0.063	 -0.065	 -0.055
           7238	 -0.005	 -0.053	 -0.048	  0.028	  0.020	 -0.050	  0.030	  0.038	  0.015	 -0.068	 -0.063	 -0.050
           7239	 -0.010	 -0.058	 -0.050	  0.033	  0.020	 -0.053	  0.035	  0.043	  0.020	 -0.073	 -0.058	 -0.045
           7240	 -0.005	 -0.050	 -0.045	  0.028	  0.020	 -0.048	  0.043	  0.048	  0.028	 -0.070	 -0.053	 -0.048
           7241	  0.000	 -0.038	 -0.038	  0.020	  0.020	 -0.038	  0.040	  0.048	  0.030	 -0.075	 -0.060	 -0.055
           7242	 -0.003	 -0.035	 -0.033	  0.018	  0.015	 -0.033	  0.033	  0.053	  0.033	 -0.075	 -0.070	 -0.058
           7243	 -0.013	 -0.045	 -0.035	  0.028	  0.010	 -0.040	  0.035	  0.060	  0.033	 -0.073	 -0.075	 -0.053
           7244	 -0.015	 -0.053	 -0.038	  0.033	  0.010	 -0.045	  0.043	  0.068	  0.038	 -0.063	 -0.073	 -0.048
           7245	 -0.010	 -0.048	 -0.040	  0.030	  0.015	 -0.045	  0.043	  0.065	  0.035	 -0.065	 -0.075	 -0.050
           7246	 -0.005	 -0.040	 -0.035	  0.023	  0.015	 -0.038	  0.038	  0.065	  0.033	 -0.070	 -0.078	 -0.055
           7247	 -0.008	 -0.040	 -0.033	  0.025	  0.010	 -0.035	  0.038	  0.065	  0.030	 -0.075	 -0.078	 -0.055
           7248	 -0.013	 -0.043	 -0.030	  0.028	  0.008	 -0.035	  0.050	  0.070	  0.038	 -0.065	 -0.073	 -0.050
           7249	 -0.013	 -0.045	 -0.033	  0.028	  0.010	 -0.038	  0.058	  0.070	  0.045	 -0.060	 -0.073	 -0.050
           7250	 -0.008	 -0.043	 -0.035	  0.025	  0.013	 -0.038	  0.058	  0.073	  0.055	 -0.060	 -0.073	 -0.053
           7251	 -0.008	 -0.048	 -0.038	  0.028	  0.015	 -0.040	  0.058	  0.078	  0.060	 -0.063	 -0.068	 -0.053
           7252	 -0.013	 -0.050	 -0.038	  0.030	  0.013	 -0.043	  0.063	  0.085	  0.070	 -0.055	 -0.058	 -0.048
           7253	 -0.015	 -0.050	 -0.035	  0.030	  0.010	 -0.040	  0.065	  0.083	  0.070	 -0.053	 -0.055	 -0.043
           7254	 -0.010	 -0.040	 -0.030	  0.025	  0.010	 -0.035	  0.060	  0.078	  0.068	 -0.053	 -0.060	 -0.045
           7255	 -0.008	 -0.033	 -0.028	  0.020	  0.010	 -0.030	  0.048	  0.073	  0.063	 -0.060	 -0.063	 -0.050
           7256	 -0.005	 -0.030	 -0.025	  0.018	  0.010	 -0.028	  0.043	  0.080	  0.070	 -0.060	 -0.055	 -0.050
           7257	 -0.005	 -0.030	 -0.025	  0.018	  0.010	 -0.028	  0.040	  0.085	  0.078	 -0.063	 -0.053	 -0.045
           7258	 -0.003	 -0.030	 -0.028	  0.015	  0.013	 -0.028	  0.040	  0.090	  0.083	 -0.058	 -0.058	 -0.043
           7259	 -0.003	 -0.033	 -0.030	  0.018	  0.015	 -0.030	  0.040	  0.090	  0.080	 -0.053	 -0.065	 -0.045
           7260	 -0.003	 -0.033	 -0.030	  0.018	  0.013	 -0.030	  0.048	  0.093	  0.080	 -0.040	 -0.060	 -0.050
           7261	 -0.005	 -0.030	 -0.028	  0.018	  0.010	 -0.028	  0.055	  0.095	  0.080	 -0.038	 -0.058	 -0.050
           7262	 -0.003	 -0.025	 -0.023	  0.013	  0.010	 -0.023	  0.058	  0.098	  0.083	 -0.043	 -0.058	 -0.045
           7263	  0.000	 -0.023	 -0.025	  0.010	  0.013	 -0.023	  0.055	  0.095	  0.083	 -0.048	 -0.065	 -0.040
           7264	  0.000	 -0.025	 -0.025	  0.013	  0.013	 -0.025	  0.053	  0.098	  0.090	 -0.043	 -0.063	 -0.035
           7265	 -0.005	 -0.030	 -0.025	  0.018	  0.010	 -0.028	  0.058	  0.103	  0.093	 -0.038	 -0.055	 -0.033
           7266	 -0.010	 -0.033	 -0.023	  0.020	  0.005	 -0.028	  0.068	  0.110	  0.098	 -0.033	 -0.048	 -0.030
           7267	 -0.010	 -0.033	 -0.023	  0.020	  0.005	 -0.028	  0.073	  0.115	  0.098	 -0.033	 -0.048	 -0.033
           7268	 -0.005	 -0.025	 -0.020	  0.015	  0.008	 -0.023	  0.070	  0.113	  0.103	 -0.028	 -0.050	 -0.038
           7269	 -0.003	 -0.020	 -0.015	  0.013	  0.008	 -0.018	  0.063	  0.108	  0.105	 -0.025	 -0.053	 -0.040
           7270	 -0.005	 -0.015	 -0.010	  0.010	  0.003	 -0.013	  0.058	  0.108	  0.110	 -0.023	 -0.048	 -0.040
           7271	 -0.008	 -0.015	 -0.008	  0.010	  0.000	 -0.010	  0.055	  0.118	  0.113	 -0.025	 -0.045	 -0.040
           7272	 -0.008	 -0.015	 -0.008	  0.010	  0.000	 -0.010	  0.055	  0.123	  0.118	 -0.025	 -0.040	 -0.040
           7273	 -0.005	 -0.013	 -0.010	  0.008	  0.003	 -0.010	  0.055	  0.120	  0.120	 -0.023	 -0.038	 -0.040
           7274	  0.000	 -0.010	 -0.010	  0.005	  0.005	 -0.010	  0.058	  0.113	  0.120	 -0.018	 -0.038	 -0.035
           7275	  0.003	 -0.010	 -0.013	  0.003	  0.008	 -0.010	  0.063	  0.118	  0.120	 -0.008	 -0.040	 -0.030
           7276	  0.003	 -0.010	 -0.013	  0.003	  0.008	 -0.010	  0.063	  0.128	  0.125	 -0.003	 -0.040	 -0.030
           7277	  0.000	 -0.008	 -0.010	  0.003	  0.005	 -0.008	  0.058	  0.133	  0.135	  0.000	 -0.035	 -0.030
           7278	 -0.003	 -0.010	 -0.008	  0.005	  0.003	 -0.008	  0.058	  0.133	  0.143	  0.000	 -0.028	 -0.028
           7279	 -0.003	 -0.010	 -0.008	  0.005	  0.003	 -0.008	  0.063	  0.130	  0.145	  0.010	 -0.018	 -0.020
           7280	  0.000	 -0.010	 -0.010	  0.005	  0.005	 -0.010	  0.068	  0.138	  0.143	  0.015	 -0.018	 -0.020
           7281	  0.005	 -0.003	 -0.008	  0.000	  0.008	 -0.005	  0.065	  0.138	  0.140	  0.015	 -0.018	 -0.023
           7282	  0.008	  0.000	 -0.008	 -0.003	  0.008	 -0.003	  0.065	  0.138	  0.143	  0.005	 -0.023	 -0.028
           7283	  0.008	  0.003	 -0.005	 -0.005	  0.005	  0.000	  0.068	  0.133	  0.145	  0.008	 -0.018	 -0.025
           7284	  0.008	  0.000	 -0.008	 -0.003	  0.008	 -0.003	  0.073	  0.140	  0.153	  0.013	 -0.018	 -0.023
           7285	  0.008	  0.005	 -0.003	 -0.005	  0.005	  0.003	  0.068	  0.135	  0.155	  0.025	 -0.010	 -0.015
           7286	  0.008	  0.005	 -0.003	 -0.005	  0.005	  0.000	  0.063	  0.138	  0.163	  0.023	 -0.013	 -0.015
           7287	  0.005	  0.010	  0.005	 -0.005	  0.000	  0.005	  0.060	  0.130	  0.160	  0.028	 -0.008	 -0.013
           7288	  0.003	  0.005	  0.003	 -0.003	  0.000	  0.003	  0.068	  0.145	  0.168	  0.028	 -0.013	 -0.015
           7289	  0.003	  0.010	  0.008	 -0.005	 -0.003	  0.010	  0.065	  0.150	  0.170	  0.038	 -0.005	 -0.010
           7290	  0.005	  0.013	  0.008	 -0.008	  0.000	  0.010	  0.063	  0.160	  0.180	  0.033	 -0.008	 -0.013
           7291	  0.008	  0.018	  0.010	 -0.010	  0.000	  0.013	  0.060	  0.150	  0.178	  0.035	 -0.003	 -0.010
           7292	  0.010	  0.013	  0.003	 -0.010	  0.003	  0.008	  0.065	  0.155	  0.178	  0.033	 -0.010	 -0.018
           7293	  0.010	  0.013	  0.005	 -0.010	  0.003	  0.010	  0.063	  0.153	  0.170	  0.045	 -0.005	 -0.015
           7294	  0.005	  0.013	  0.008	 -0.008	  0.000	  0.010	  0.063	  0.165	  0.178	  0.043	 -0.005	 -0.013
           7295	  0.000	  0.018	  0.015	 -0.008	 -0.008	  0.015	  0.065	  0.160	  0.183	  0.050	  0.005	 -0.008
           7296	  0.003	  0.020	  0.018	 -0.010	 -0.008	  0.018	  0.078	  0.163	  0.193	  0.050	  0.000	 -0.013
           7297	  0.008	  0.023	  0.018	 -0.015	 -0.005	  0.018	  0.080	  0.158	  0.190	  0.058	  0.000	 -0.015
           7298	  0.008	  0.023	  0.015	 -0.015	 -0.003	  0.018	  0.080	  0.168	  0.198	  0.055	 -0.003	 -0.015
           7299	  0.000	  0.020	  0.018	 -0.010	 -0.008	  0.018	  0.078	  0.170	  0.200	  0.063	  0.010	 -0.005
           7300	 -0.005	  0.020	  0.025	 -0.008	 -0.015	  0.023	  0.085	  0.183	  0.213	  0.065	  0.018	 -0.003
           7301	 -0.005	  0.023	  0.028	 -0.008	 -0.015	  0.025	  0.085	  0.183	  0.210	  0.073	  0.018	 -0.005
           7302	  0.000	  0.028	  0.028	 -0.013	 -0.013	  0.028	  0.083	  0.185	  0.215	  0.070	  0.013	 -0.008
           7303	  0.003	  0.028	  0.023	 -0.015	 -0.008	  0.025	  0.078	  0.180	  0.215	  0.070	  0.013	 -0.008
           7304	  0.005	  0.030	  0.025	 -0.018	 -0.010	  0.028	  0.078	  0.183	  0.228	  0.075	  0.015	 -0.005
           7305	  0.008	  0.033	  0.023	 -0.020	 -0.008	  0.028	  0.073	  0.180	  0.225	  0.073	  0.010	 -0.005
           7306	  0.013	  0.035	  0.023	 -0.023	 -0.005	  0.028	  0.070	  0.185	  0.230	  0.078	  0.013	 -0.003
           7307	  0.015	  0.030	  0.018	 -0.023	  0.000	  0.023	  0.068	  0.185	  0.228	  0.078	  0.018	  0.000
           7308	  0.015	  0.035	  0.020	 -0.025	 -0.003	  0.028	  0.075	  0.193	  0.235	  0.085	  0.025	  0.005
           7309	  0.015	  0.040	  0.025	 -0.028	 -0.008	  0.035	  0.080	  0.193	  0.233	  0.083	  0.023	  0.003
           7310	  0.015	  0.050	  0.035	 -0.033	 -0.010	  0.043	  0.078	  0.198	  0.240	  0.088	  0.023	  0.003
           7311	  0.013	  0.045	  0.033	 -0.028	 -0.010	  0.040	  0.070	  0.198	  0.243	  0.088	  0.025	  0.003
           7312	  0.010	  0.043	  0.033	 -0.025	 -0.010	  0.038	  0.073	  0.205	  0.255	  0.098	  0.033	  0.008
           7313	  0.008	  0.040	  0.033	 -0.023	 -0.013	  0.038	  0.075	  0.205	  0.255	  0.100	  0.033	  0.010
           7314	  0.010	  0.050	  0.040	 -0.030	 -0.015	  0.045	  0.080	  0.210	  0.260	  0.103	  0.035	  0.015
           7315	  0.010	  0.055	  0.043	 -0.033	 -0.015	  0.048	  0.080	  0.210	  0.263	  0.100	  0.038	  0.020
           7316	  0.013	  0.058	  0.045	 -0.035	 -0.015	  0.050	  0.083	  0.218	  0.273	  0.108	  0.045	  0.020
           7317	  0.015	  0.058	  0.043	 -0.035	 -0.013	  0.048	  0.083	  0.218	  0.273	  0.113	  0.043	  0.015
           7318	  0.018	  0.060	  0.043	 -0.038	 -0.013	  0.050	  0.080	  0.223	  0.275	  0.120	  0.040	  0.013
           7319	  0.015	  0.058	  0.043	 -0.038	 -0.013	  0.050	  0.078	  0.225	  0.278	  0.123	  0.043	  0.015
           7320	  0.013	  0.058	  0.045	 -0.035	 -0.015	  0.050	  0.080	  0.233	  0.290	  0.130	  0.050	  0.020
           7321	  0.013	  0.058	  0.045	 -0.035	 -0.015	  0.050	  0.083	  0.233	  0.290	  0.135	  0.050	  0.018
           7322	  0.018	  0.065	  0.048	 -0.040	 -0.015	  0.055	  0.080	  0.235	  0.293	  0.140	  0.048	  0.013
           7323	  0.023	  0.070	  0.048	 -0.048	 -0.013	  0.060	  0.075	  0.233	  0.293	  0.140	  0.045	  0.013
           7324	  0.025	  0.075	  0.050	 -0.050	 -0.013	  0.063	  0.073	  0.240	  0.305	  0.143	  0.053	  0.018
           7325	  0.023	  0.070	  0.045	 -0.048	 -0.010	  0.058	  0.075	  0.245	  0.313	  0.143	  0.055	  0.020
           7326	  0.023	  0.065	  0.043	 -0.043	 -0.010	  0.053	  0.075	  0.253	  0.318	  0.148	  0.058	  0.025
           7327	  0.020	  0.060	  0.040	 -0.040	 -0.010	  0.050	  0.075	  0.255	  0.315	  0.150	  0.058	  0.030
           7328	  0.020	  0.065	  0.045	 -0.043	 -0.013	  0.055	  0.078	  0.258	  0.320	  0.155	  0.065	  0.035
           7329	  0.023	  0.073	  0.050	 -0.048	 -0.013	  0.063	  0.083	  0.255	  0.325	  0.153	  0.065	  0.035
           7330	  0.028	  0.083	  0.055	 -0.055	 -0.013	  0.068	  0.083	  0.258	  0.335	  0.158	  0.063	  0.035
           7331	  0.030	  0.085	  0.055	 -0.058	 -0.013	  0.070	  0.080	  0.258	  0.340	  0.160	  0.060	  0.035
           7332	  0.028	  0.088	  0.060	 -0.058	 -0.015	  0.073	  0.083	  0.263	  0.348	  0.170	  0.065	  0.040
           7333	  0.025	  0.088	  0.063	 -0.055	 -0.018	  0.075	  0.088	  0.265	  0.350	  0.173	  0.068	  0.040
           7334	  0.025	  0.088	  0.063	 -0.055	 -0.018	  0.075	  0.090	  0.270	  0.353	  0.175	  0.073	  0.038
           7335	  0.028	  0.085	  0.060	 -0.055	 -0.015	  0.073	  0.088	  0.270	  0.350	  0.178	  0.073	  0.038
           7336	  0.028	  0.088	  0.060	 -0.058	 -0.015	  0.073	  0.080	  0.278	  0.358	  0.188	  0.080	  0.043
           7337	  0.028	  0.090	  0.063	 -0.058	 -0.018	  0.075	  0.075	  0.283	  0.363	  0.193	  0.083	  0.045
           7338	  0.033	  0.095	  0.063	 -0.063	 -0.015	  0.078	  0.073	  0.288	  0.370	  0.198	  0.083	  0.048
           7339	  0.038	  0.095	  0.060	 -0.065	 -0.010	  0.075	  0.073	  0.288	  0.373	  0.195	  0.083	  0.045
           7340	  0.038	  0.098	  0.060	 -0.068	 -0.010	  0.078	  0.075	  0.293	  0.383	  0.203	  0.090	  0.045
           7341	  0.033	  0.098	  0.065	 -0.068	 -0.015	  0.080	  0.075	  0.295	  0.385	  0.208	  0.095	  0.045
           7342	  0.033	  0.103	  0.070	 -0.068	 -0.018	  0.085	  0.075	  0.300	  0.390	  0.213	  0.100	  0.048
           7343	  0.035	  0.103	  0.068	 -0.068	 -0.015	  0.083	  0.075	  0.303	  0.390	  0.213	  0.103	  0.050
           7344	  0.038	  0.103	  0.065	 -0.070	 -0.013	  0.083	  0.078	  0.308	  0.398	  0.223	  0.108	  0.055
           7345	  0.038	  0.103	  0.065	 -0.070	 -0.013	  0.085	  0.080	  0.310	  0.403	  0.228	  0.108	  0.055
           7346	  0.040	  0.110	  0.070	 -0.075	 -0.015	  0.090	  0.080	  0.313	  0.408	  0.235	  0.108	  0.058
           7347	  0.043	  0.115	  0.073	 -0.078	 -0.015	  0.093	  0.078	  0.315	  0.405	  0.233	  0.105	  0.058
           7348	  0.043	  0.118	  0.075	 -0.080	 -0.015	  0.095	  0.078	  0.325	  0.413	  0.240	  0.113	  0.060
           7349	  0.040	  0.115	  0.078	 -0.078	 -0.018	  0.095	  0.080	  0.330	  0.420	  0.245	  0.118	  0.060
           7350	  0.038	  0.118	  0.080	 -0.078	 -0.020	  0.098	  0.080	  0.333	  0.430	  0.255	  0.123	  0.060
           7351	  0.038	  0.118	  0.080	 -0.078	 -0.020	  0.098	  0.078	  0.330	  0.428	  0.253	  0.120	  0.060
           7352	  0.043	  0.125	  0.083	 -0.083	 -0.020	  0.103	  0.075	  0.333	  0.430	  0.255	  0.125	  0.063
           7353	  0.045	  0.130	  0.085	 -0.085	 -0.020	  0.105	  0.078	  0.338	  0.435	  0.255	  0.128	  0.063
           7354	  0.045	  0.133	  0.088	 -0.088	 -0.020	  0.110	  0.083	  0.345	  0.445	  0.265	  0.130	  0.063
           7355	  0.045	  0.130	  0.088	 -0.088	 -0.020	  0.110	  0.083	  0.348	  0.450	  0.273	  0.128	  0.065
           7356	  0.045	  0.135	  0.090	 -0.090	 -0.023	  0.113	  0.080	  0.350	  0.458	  0.280	  0.133	  0.070
           7357	  0.048	  0.140	  0.095	 -0.095	 -0.023	  0.118	  0.078	  0.355	  0.465	  0.280	  0.138	  0.075
           7358	  0.048	  0.148	  0.100	 -0.098	 -0.025	  0.123	  0.080	  0.363	  0.478	  0.283	  0.145	  0.080
           7359	  0.048	  0.145	  0.098	 -0.095	 -0.025	  0.120	  0.083	  0.368	  0.480	  0.283	  0.145	  0.083
           7360	  0.045	  0.140	  0.095	 -0.093	 -0.025	  0.118	  0.085	  0.375	  0.480	  0.295	  0.150	  0.085
           7361	  0.045	  0.140	  0.095	 -0.093	 -0.025	  0.118	  0.085	  0.378	  0.480	  0.305	  0.155	  0.083
           7362	  0.048	  0.148	  0.100	 -0.098	 -0.025	  0.123	  0.080	  0.380	  0.493	  0.315	  0.163	  0.085
           7363	  0.053	  0.153	  0.098	 -0.103	 -0.023	  0.125	  0.078	  0.383	  0.505	  0.313	  0.168	  0.088
           7364	  0.060	  0.155	  0.095	 -0.108	 -0.018	  0.125	  0.078	  0.390	  0.513	  0.315	  0.173	  0.093
           7365	  0.063	  0.155	  0.093	 -0.108	 -0.015	  0.125	  0.080	  0.398	  0.513	  0.318	  0.175	  0.090
           7366	  0.060	  0.158	  0.098	 -0.108	 -0.018	  0.128	  0.083	  0.403	  0.515	  0.328	  0.178	  0.090
           7367	  0.058	  0.158	  0.103	 -0.108	 -0.020	  0.128	  0.083	  0.403	  0.520	  0.333	  0.178	  0.090
           7368	  0.058	  0.163	  0.105	 -0.110	 -0.023	  0.133	  0.083	  0.408	  0.530	  0.343	  0.183	  0.100
           7369	  0.060	  0.165	  0.108	 -0.113	 -0.023	  0.135	  0.080	  0.413	  0.535	  0.348	  0.183	  0.108
           7370	  0.060	  0.170	  0.110	 -0.115	 -0.025	  0.140	  0.078	  0.418	  0.543	  0.355	  0.185	  0.115
           7371	  0.060	  0.170	  0.110	 -0.113	 -0.025	  0.138	  0.075	  0.418	  0.545	  0.355	  0.185	  0.118
           7372	  0.063	  0.170	  0.108	 -0.115	 -0.023	  0.138	  0.073	  0.418	  0.548	  0.360	  0.193	  0.120
           7373	  0.068	  0.175	  0.108	 -0.120	 -0.020	  0.140	  0.075	  0.425	  0.550	  0.365	  0.200	  0.120
           7374	  0.070	  0.183	  0.113	 -0.125	 -0.020	  0.148	  0.078	  0.438	  0.558	  0.378	  0.210	  0.123
           7375	  0.070	  0.185	  0.115	 -0.125	 -0.020	  0.150	  0.080	  0.448	  0.565	  0.388	  0.213	  0.125
           7376	  0.070	  0.183	  0.113	 -0.125	 -0.020	  0.148	  0.078	  0.453	  0.573	  0.395	  0.218	  0.128
           7377	  0.075	  0.183	  0.110	 -0.128	 -0.018	  0.145	  0.075	  0.453	  0.575	  0.395	  0.220	  0.128
           7378	  0.080	  0.193	  0.113	 -0.135	 -0.015	  0.153	  0.073	  0.455	  0.583	  0.400	  0.225	  0.128
           7379	  0.083	  0.200	  0.118	 -0.140	 -0.015	  0.160	  0.070	  0.455	  0.588	  0.403	  0.225	  0.128
